Itemset: [1], Utility: 12496.00
Itemset: [297], Utility: 10217.00
Itemset: [567], Utility: 22727.00
Itemset: [727], Utility: 17563.00
Itemset: [1307], Utility: 11108.00
Itemset: [84], Utility: 24034.00
Itemset: [580], Utility: 24134.00
Itemset: [1141], Utility: 14163.00
Itemset: [1414], Utility: 13460.00
Itemset: [1101], Utility: 21738.00
Itemset: [91], Utility: 21247.00
Itemset: [770], Utility: 16614.00
Itemset: [640], Utility: 21903.00
Itemset: [1294], Utility: 15446.00
Itemset: [314], Utility: 15104.00
Itemset: [127], Utility: 17753.00
Itemset: [50], Utility: 33253.00
Itemset: [1351], Utility: 14171.00
Itemset: [870], Utility: 18567.00
Itemset: [1267], Utility: 13442.00
Itemset: [520], Utility: 26823.00
Itemset: [17], Utility: 27382.00
Itemset: [117], Utility: 26777.00
Itemset: [130], Utility: 23102.00
Itemset: [1441], Utility: 14653.00
Itemset: [287], Utility: 16840.00
Itemset: [831], Utility: 13628.00
Itemset: [604], Utility: 10237.00
Itemset: [150], Utility: 30968.00
Itemset: [420], Utility: 24416.00
Itemset: [771], Utility: 10421.00
Itemset: [177], Utility: 15401.00
Itemset: [237], Utility: 24221.00
Itemset: [617], Utility: 12598.00
Itemset: [1274], Utility: 13011.00
Itemset: [800], Utility: 26422.00
Itemset: [1354], Utility: 14034.00
Itemset: [460], Utility: 17739.00
Itemset: [1164], Utility: 16264.00
Itemset: [197], Utility: 25881.00
Itemset: [1321], Utility: 21307.00
Itemset: [44], Utility: 29014.00
Itemset: [77], Utility: 25323.00
Itemset: [507], Utility: 23008.00
Itemset: [750], Utility: 19274.00
Itemset: [1061], Utility: 14150.00
Itemset: [360], Utility: 14942.00
Itemset: [1381], Utility: 18169.00
Itemset: [757], Utility: 12267.00
Itemset: [680], Utility: 14484.00
Itemset: [1017], Utility: 21987.00
Itemset: [1330], Utility: 12318.00
Itemset: [357], Utility: 19824.00
Itemset: [1471], Utility: 14557.00
Itemset: [821], Utility: 16687.00
Itemset: [860], Utility: 21660.00
Itemset: [1044], Utility: 11843.00
Itemset: [1364], Utility: 14753.00
Itemset: [161], Utility: 15180.00
Itemset: [740], Utility: 19585.00
Itemset: [607], Utility: 25262.00
Itemset: [71], Utility: 23095.00
Itemset: [1031], Utility: 12413.00
Itemset: [391], Utility: 11564.00
Itemset: [1131], Utility: 23461.00
Itemset: [1001], Utility: 21326.00
Itemset: [570], Utility: 23604.00
Itemset: [227], Utility: 20602.00
Itemset: [577], Utility: 26293.00
Itemset: [667], Utility: 22532.00
Itemset: [480], Utility: 20159.00
Itemset: [707], Utility: 17770.00
Itemset: [1411], Utility: 20828.00
Itemset: [1071], Utility: 23681.00
Itemset: [630], Utility: 26116.00
Itemset: [824], Utility: 18525.00
Itemset: [1501], Utility: 26374.00
Itemset: [514], Utility: 16574.00
Itemset: [1244], Utility: 11140.00
Itemset: [817], Utility: 16335.00
Itemset: [424], Utility: 14982.00
Itemset: [1504], Utility: 16788.00
Itemset: [601], Utility: 19143.00
Itemset: [404], Utility: 14230.00
Itemset: [760], Utility: 19177.00
Itemset: [107], Utility: 18022.00
Itemset: [1081], Utility: 26575.00
Itemset: [497], Utility: 18740.00
Itemset: [1054], Utility: 13855.00
Itemset: [627], Utility: 16705.00
Itemset: [1541], Utility: 29527.00
Itemset: [517], Utility: 28931.00
Itemset: [27], Utility: 26158.00
Itemset: [1401], Utility: 15827.00
Itemset: [830], Utility: 24074.00
Itemset: [610], Utility: 24189.00
Itemset: [1451], Utility: 17455.00
Itemset: [204], Utility: 15605.00
Itemset: [697], Utility: 12929.00
Itemset: [657], Utility: 18840.00
Itemset: [840], Utility: 15441.00
Itemset: [427], Utility: 21434.00
Itemset: [930], Utility: 15380.00
Itemset: [224], Utility: 16421.00
Itemset: [917], Utility: 11762.00
Itemset: [4], Utility: 29790.00
Itemset: [1434], Utility: 11092.00
Itemset: [1084], Utility: 13274.00
Itemset: [54], Utility: 27730.00
Itemset: [527], Utility: 23724.00
Itemset: [377], Utility: 21970.00
Itemset: [1130], Utility: 15650.00
Itemset: [747], Utility: 17356.00
Itemset: [284], Utility: 10576.00
Itemset: [530], Utility: 33744.00
Itemset: [1080], Utility: 18360.00
Itemset: [774], Utility: 21977.00
Itemset: [190], Utility: 36502.00
Itemset: [194], Utility: 29562.00
Itemset: [1530], Utility: 13116.00
Itemset: [911], Utility: 20145.00
Itemset: [214], Utility: 26025.00
Itemset: [737], Utility: 13149.00
Itemset: [990], Utility: 29022.00
Itemset: [871], Utility: 22775.00
Itemset: [1550], Utility: 16973.00
Itemset: [464], Utility: 27857.00
Itemset: [874], Utility: 16433.00
Itemset: [574], Utility: 23545.00
Itemset: [807], Utility: 13726.00
Itemset: [1210], Utility: 15815.00
Itemset: [1537], Utility: 21458.00
Itemset: [854], Utility: 15963.00
Itemset: [1444], Utility: 17588.00
Itemset: [251], Utility: 20834.00
Itemset: [81], Utility: 20292.00
Itemset: [1181], Utility: 17118.00
Itemset: [234], Utility: 25268.00
Itemset: [494], Utility: 18288.00
Itemset: [780], Utility: 28346.00
Itemset: [980], Utility: 17275.00
Itemset: [1087], Utility: 16350.00
Itemset: [761], Utility: 16954.00
Itemset: [1250], Utility: 19615.00
Itemset: [921], Utility: 14550.00
Itemset: [1160], Utility: 23480.00
Itemset: [1190], Utility: 13895.00
Itemset: [957], Utility: 24407.00
Itemset: [1027], Utility: 21248.00
Itemset: [1224], Utility: 13426.00
Itemset: [1557], Utility: 12199.00
Itemset: [1214], Utility: 13312.00
Itemset: [910], Utility: 20522.00
Itemset: [457], Utility: 24687.00
Itemset: [767], Utility: 15068.00
Itemset: [1404], Utility: 25645.00
Itemset: [704], Utility: 15010.00
Itemset: [524], Utility: 16628.00
Itemset: [1240], Utility: 18275.00
Itemset: [354], Utility: 22142.00
Itemset: [664], Utility: 17993.00
Itemset: [1490], Utility: 13880.00
Itemset: [867], Utility: 18515.00
Itemset: [931], Utility: 20182.00
Itemset: [730], Utility: 17697.00
Itemset: [1137], Utility: 16405.00
Itemset: [461], Utility: 25570.00
Itemset: [961], Utility: 13878.00
Itemset: [681], Utility: 21131.00
Itemset: [137], Utility: 36428.00
Itemset: [164], Utility: 28001.00
Itemset: [934], Utility: 11982.00
Itemset: [864], Utility: 16346.00
Itemset: [787], Utility: 15981.00
Itemset: [904], Utility: 15651.00
Itemset: [1287], Utility: 15768.00
Itemset: [317], Utility: 23768.00
Itemset: [374], Utility: 17273.00
Itemset: [1010], Utility: 25605.00
Itemset: [474], Utility: 31022.00
Itemset: [1334], Utility: 16534.00
Itemset: [1117], Utility: 30899.00
Itemset: [837], Utility: 17313.00
Itemset: [1300], Utility: 14671.00
Itemset: [250], Utility: 32782.00
Itemset: [534], Utility: 29533.00
Itemset: [1057], Utility: 12989.00
Itemset: [1457], Utility: 28740.00
Itemset: [600], Utility: 24929.00
Itemset: [447], Utility: 28984.00
Itemset: [571], Utility: 13910.00
Itemset: [1247], Utility: 16513.00
Itemset: [1554], Utility: 27067.00
Itemset: [1154], Utility: 17371.00
Itemset: [1344], Utility: 15176.00
Itemset: [1097], Utility: 19334.00
Itemset: [367], Utility: 35326.00
Itemset: [487], Utility: 26118.00
Itemset: [1534], Utility: 26285.00
Itemset: [1474], Utility: 21151.00
Itemset: [970], Utility: 28446.00
Itemset: [1170], Utility: 23039.00
Itemset: [1000], Utility: 25490.00
Itemset: [891], Utility: 24485.00
Itemset: [1410], Utility: 15972.00
Itemset: [857], Utility: 18680.00
Itemset: [21], Utility: 23939.00
Itemset: [1034], Utility: 24763.00
Itemset: [811], Utility: 25973.00
Itemset: [1527], Utility: 29471.00
Itemset: [1341], Utility: 32104.00
Itemset: [1120], Utility: 17709.00
Itemset: [881], Utility: 18540.00
Itemset: [1510], Utility: 10186.00
Itemset: [321], Utility: 23722.00
Itemset: [584], Utility: 24808.00
Itemset: [151], Utility: 27298.00
Itemset: [1331], Utility: 28785.00
Itemset: [764], Utility: 32750.00
Itemset: [387], Utility: 26792.00
Itemset: [381], Utility: 21789.00
Itemset: [960], Utility: 22071.00
Itemset: [1507], Utility: 17345.00
Itemset: [971], Utility: 29719.00
Itemset: [191], Utility: 24715.00
Itemset: [721], Utility: 21319.00
Itemset: [624], Utility: 24709.00
Itemset: [451], Utility: 19715.00
Itemset: [1074], Utility: 25886.00
Itemset: [1480], Utility: 14344.00
Itemset: [211], Utility: 25988.00
Itemset: [320], Utility: 33641.00
Itemset: [300], Utility: 31655.00
Itemset: [677], Utility: 28715.00
Itemset: [841], Utility: 20415.00
Itemset: [951], Utility: 21510.00
Itemset: [504], Utility: 18867.00
Itemset: [647], Utility: 26880.00
Itemset: [537], Utility: 24506.00
Itemset: [827], Utility: 11671.00
Itemset: [1067], Utility: 17634.00
Itemset: [500], Utility: 27339.00
Itemset: [131], Utility: 23536.00
Itemset: [954], Utility: 18156.00
Itemset: [104], Utility: 35492.00
Itemset: [1421], Utility: 30116.00
Itemset: [1437], Utility: 16804.00
Itemset: [1384], Utility: 25512.00
Itemset: [467], Utility: 36809.00
Itemset: [797], Utility: 22779.00
Itemset: [660], Utility: 29164.00
Itemset: [437], Utility: 22446.00
Itemset: [271], Utility: 24672.00
Itemset: [614], Utility: 33007.00
Itemset: [1371], Utility: 23763.00
Itemset: [484], Utility: 32586.00
Itemset: [454], Utility: 10474.00
Itemset: [184], Utility: 33563.00
Itemset: [1207], Utility: 17334.00
Itemset: [361], Utility: 11923.00
Itemset: [1030], Utility: 25872.00
Itemset: [1460], Utility: 21132.00
Itemset: [1187], Utility: 19553.00
Itemset: [1461], Utility: 26621.00
Itemset: [407], Utility: 34423.00
Itemset: [950], Utility: 32033.00
Itemset: [291], Utility: 21674.00
Itemset: [330], Utility: 40832.00
Itemset: [890], Utility: 24374.00
Itemset: [241], Utility: 26614.00
Itemset: [1177], Utility: 16352.00
Itemset: [541], Utility: 19282.00
Itemset: [1347], Utility: 18859.00
Itemset: [1167], Utility: 22426.00
Itemset: [1201], Utility: 34402.00
Itemset: [900], Utility: 21023.00
Itemset: [861], Utility: 25679.00
Itemset: [1264], Utility: 24990.00
Itemset: [1477], Utility: 26980.00
Itemset: [1241], Utility: 31006.00
Itemset: [1191], Utility: 23272.00
Itemset: [1171], Utility: 32636.00
Itemset: [1220], Utility: 20309.00
Itemset: [390], Utility: 40092.00
Itemset: [470], Utility: 31949.00
Itemset: [1227], Utility: 28880.00
Itemset: [1270], Utility: 23929.00
Itemset: [1231], Utility: 37114.00
Itemset: [1174], Utility: 21383.00
Itemset: [501], Utility: 15813.00
Itemset: [1470], Utility: 22202.00
Itemset: [1194], Utility: 26954.00
Itemset: [1007], Utility: 22179.00
Itemset: [1547], Utility: 23264.00
Itemset: [794], Utility: 13309.00
Itemset: [491], Utility: 30578.00
Itemset: [851], Utility: 25004.00
Itemset: [281], Utility: 25965.00
Itemset: [581], Utility: 29685.00
Itemset: [1291], Utility: 26982.00
Itemset: [877], Utility: 17298.00
Itemset: [1394], Utility: 26153.00
Itemset: [1077], Utility: 33822.00
Itemset: [1114], Utility: 31493.00
Itemset: [694], Utility: 28554.00
Itemset: [1157], Utility: 34844.00
Itemset: [1397], Utility: 15781.00
Itemset: [744], Utility: 35569.00
Itemset: [587], Utility: 32108.00
Itemset: [417], Utility: 31966.00
Itemset: [1110], Utility: 29368.00
Itemset: [1281], Utility: 30158.00
Itemset: [1497], Utility: 30538.00
Itemset: [1431], Utility: 33466.00
Itemset: [1140], Utility: 25746.00
Itemset: [1090], Utility: 21245.00
Itemset: [1317], Utility: 22770.00
Itemset: [121], Utility: 29689.00
Itemset: [1311], Utility: 33124.00
Itemset: [804], Utility: 22489.00
Itemset: [11], Utility: 37000.00
Itemset: [1374], Utility: 29980.00
Itemset: [661], Utility: 24467.00
Itemset: [1320], Utility: 27365.00
Itemset: [1430], Utility: 32045.00
Itemset: [597], Utility: 29886.00
Itemset: [1060], Utility: 27165.00
Itemset: [1134], Utility: 20422.00
Itemset: [654], Utility: 20891.00
Itemset: [244], Utility: 27880.00
Itemset: [1271], Utility: 35344.00
Itemset: [1011], Utility: 32294.00
Itemset: [634], Utility: 25677.00
Itemset: [171], Utility: 26071.00
Itemset: [1277], Utility: 26672.00
Itemset: [311], Utility: 22832.00
Itemset: [364], Utility: 23549.00
Itemset: [1127], Utility: 26061.00
Itemset: [1200], Utility: 20278.00
Itemset: [304], Utility: 20720.00
Itemset: [414], Utility: 30156.00
Itemset: [264], Utility: 30251.00
Itemset: [1254], Utility: 34783.00
Itemset: [1147], Utility: 14575.00
Itemset: [1520], Utility: 22297.00
Itemset: [724], Utility: 29455.00
Itemset: [1121], Utility: 36884.00
Itemset: [551], Utility: 33818.00
Itemset: [674], Utility: 31150.00
Itemset: [277], Utility: 30344.00
Itemset: [1217], Utility: 13986.00
Itemset: [691], Utility: 30194.00
Itemset: [991], Utility: 33998.00
Itemset: [547], Utility: 25689.00
Itemset: [444], Utility: 30015.00
Itemset: [987], Utility: 26999.00
Itemset: [1211], Utility: 39135.00
Itemset: [554], Utility: 32608.00
Itemset: [901], Utility: 32006.00
Itemset: [1094], Utility: 33198.00
Itemset: [1070], Utility: 37830.00
Itemset: [887], Utility: 22459.00
Itemset: [641], Utility: 37152.00
Itemset: [1310], Utility: 37921.00
Itemset: [1251], Utility: 39505.00
Itemset: [717], Utility: 38135.00
Itemset: [940], Utility: 29070.00
Itemset: [1420], Utility: 17675.00
Itemset: [1257], Utility: 21412.00
Itemset: [141], Utility: 36936.00
Itemset: [997], Utility: 33041.00
Itemset: [1340], Utility: 25730.00
Itemset: [231], Utility: 31076.00
Itemset: [1047], Utility: 34002.00
Itemset: [1370], Utility: 24690.00
Itemset: [801], Utility: 27953.00
Itemset: [844], Utility: 32463.00
Itemset: [781], Utility: 35608.00
Itemset: [331], Utility: 27327.00
Itemset: [1004], Utility: 29417.00
Itemset: [671], Utility: 31020.00
Itemset: [777], Utility: 37302.00
Itemset: [111], Utility: 35730.00
Itemset: [344], Utility: 25550.00
Itemset: [1161], Utility: 41315.00
Itemset: [907], Utility: 33218.00
Itemset: [544], Utility: 31404.00
Itemset: [814], Utility: 19242.00
Itemset: [1424], Utility: 38986.00
Itemset: [1107], Utility: 26223.00
Itemset: [351], Utility: 32108.00
Itemset: [1297], Utility: 19428.00
Itemset: [1104], Utility: 26348.00
Itemset: [1427], Utility: 32805.00
Itemset: [834], Utility: 30635.00
Itemset: [1454], Utility: 39058.00
Itemset: [341], Utility: 29463.00
Itemset: [924], Utility: 31200.00
Itemset: [1184], Utility: 27955.00
Itemset: [1447], Utility: 30765.00
Itemset: [1150], Utility: 30884.00
Itemset: [1360], Utility: 25189.00
Itemset: [751], Utility: 24619.00
Itemset: [711], Utility: 30454.00
Itemset: [1204], Utility: 25412.00
Itemset: [754], Utility: 27671.00
Itemset: [914], Utility: 28273.00
Itemset: [1377], Utility: 29522.00
Itemset: [847], Utility: 37314.00
Itemset: [1324], Utility: 38450.00
Itemset: [1390], Utility: 20036.00
Itemset: [1500], Utility: 25088.00
Itemset: [1290], Utility: 33281.00
Itemset: [1367], Utility: 35796.00
Itemset: [1327], Utility: 35692.00
Itemset: [221], Utility: 34276.00
Itemset: [1450], Utility: 29851.00
Itemset: [714], Utility: 30074.00
Itemset: [1197], Utility: 32912.00
Itemset: [1237], Utility: 29529.00
Itemset: [964], Utility: 23942.00
Itemset: [791], Utility: 24405.00
Itemset: [521], Utility: 35427.00
Itemset: [1284], Utility: 26755.00
Itemset: [1091], Utility: 39816.00
Itemset: [261], Utility: 38167.00
Itemset: [481], Utility: 30143.00
Itemset: [1467], Utility: 42927.00
Itemset: [731], Utility: 40743.00
Itemset: [1357], Utility: 30566.00
Itemset: [1417], Utility: 39182.00
Itemset: [274], Utility: 45638.00
Itemset: [1024], Utility: 41428.00
Itemset: [421], Utility: 34446.00
Itemset: [1440], Utility: 30057.00
Itemset: [941], Utility: 43535.00
Itemset: [394], Utility: 34825.00
Itemset: [1540], Utility: 35687.00
Itemset: [1180], Utility: 40914.00
Itemset: [937], Utility: 40225.00
Itemset: [1387], Utility: 37064.00
Itemset: [880], Utility: 39113.00
Itemset: [884], Utility: 31518.00
Itemset: [1380], Utility: 46121.00
Itemset: [915], Utility: 10429.00

Thời gian chạy thuật toán: 30.577819 giây
Bộ nhớ sử dụng: 20790 KB
